          FR ECO F  108   906  70  92   SR ACT M   94   854  45  67
          SO FIN M  105   975  76  85   SR MGT M   95   895  37  63
          JR HUM F  110   785  45  75   SO FIN F  121  1075  74  90
          JR HUM F  100   955  62  54   FR PSY M   98   895  57  74
          FR MGT F  115   975  62  83   JR MGT M   90   910  45  61
          SO ECO F  107  1090  57  84   SR ECO M   85   695  32  48
          JR ACT M  105   965  65  87   SO FIN F  113  1085  78  83
          JR MGT M  108  1055  57  75   JR HUM F   97   990  37  65
          SR FIN F  103   955  65  60   SR PSY M   89   680  51  75
          JR MGT M  108   780  49  55   FR PSY M   92   675  49  45
          FR MGT F   89   904  52  64   FR ECO M  101   865  62  78
          FR PSY F  112  1055  79  86   FR BIO F  120  1165  83  96
          JR PSY F  106  1050  67  87   SO ECO M   98   860  48  65
          FR ECO M  111  1085  76  64   SO ACT M   87   780  26  45
          SO FIN F  104   975  48  65   JR MGT M  107  1090  74  86
          JR HUM F   95   670  62  78   SO BIO M   98   951  53  65
          SR MAT M  125  1200  85  97   JR MAT M  123  1070  82  93
          FR MAT F  137  1160  86  80   FR MGT M  120  1095  74  83
          FR ECO F  102   995  35  54   FR BIO M  107   785  47  60
          JR BIO F  118  1080  67  78   JR MAT M  126  1170  73  81
          SO BIO M  103   850  62  69   JR ECO F  107   980  57  76
          JR ACT M  118  1008  56  74   SO FIN F   95  1065  43  49
          SR MGT F  125  1160  65  93   SO ACT F  109  1001  73  83
          SR ECO F  106   985  56  78   JR ACT F  106   870  63  83
          SO FIN M  113   965  52  85   SR MGT M   92   750  34  73
          JR HUM M  107   990  45  80   SO HUM M  116  1095  62  75
          SR BIO F   95   780  74  70   JR MAT M   94   850  53  62
          FR BIO M   80   590  47  45   FR MGT M  103   955  59  64
          JR HUM F   93   945  46  53   SO HUM F   94   860  49  63
          SO FIN F  106   945  68  72   FR HUM M  115   920  73  62

